metric,unix_ts,value
gpu_util_pct,1788782173.0,0.0
gpu_util_pct,1788782174.0,0.0
gpu_util_pct,1788782175.0,0.0
gpu_util_pct,1788782176.0,0.0
gpu_util_pct,1788782177.0,0.0
gpu_util_pct,1788782178.0,0.0
gpu_util_pct,1788782179.0,0.0
gpu_util_pct,1788782180.0,0.0
gpu_util_pct,1788782181.0,0.0
gpu_util_pct,1788782182.0,0.0
gpu_util_pct,1788782183.0,0.0
gpu_util_pct,1788782184.0,99.0
gpu_util_pct,1788782185.0,100.0
gpu_util_pct,1788782186.0,100.0
gpu_util_pct,1788782187.0,100.0
gpu_util_pct,1788782188.0,97.0
gpu_util_pct,1788782189.0,100.0
gpu_util_pct,1788782190.0,100.0
gpu_util_pct,1788782191.0,100.0
gpu_util_pct,1788782192.0,100.0
gpu_util_pct,1788782193.0,100.0
gpu_util_pct,1788782194.0,97.0
gpu_util_pct,1788782195.0,99.0
gpu_util_pct,1788782196.0,100.0
gpu_util_pct,1788782197.0,100.0
gpu_util_pct,1788782198.0,100.0
gpu_util_pct,1788782199.0,98.0
gpu_util_pct,1788782200.0,100.0
gpu_util_pct,1788782201.0,99.0
gpu_util_pct,1788782202.0,100.0
gpu_util_pct,1788782203.0,100.0
gpu_util_pct,1788782204.0,100.0
gpu_util_pct,1788782205.0,98.0
gpu_util_pct,1788782206.0,100.0
gpu_util_pct,1788782207.0,100.0
gpu_util_pct,1788782208.0,100.0
gpu_util_pct,1788782209.0,100.0
gpu_util_pct,1788782210.0,100.0
gpu_util_pct,1788782211.0,99.0
gpu_util_pct,1788782212.0,100.0
gpu_util_pct,1788782213.0,100.0
gpu_util_pct,1788782214.0,0.0
gpu_util_pct,1788782215.0,0.0
gpu_util_pct,1788782216.0,0.0
gpu_util_pct,1788782217.0,0.0
gpu_util_pct,1788782218.0,0.0
gpu_util_pct,1788782219.0,0.0
gpu_util_pct,1788782220.0,0.0
gpu_util_pct,1788782221.0,0.0
gpu_util_pct,1788782222.0,0.0
gpu_util_pct,1788782223.0,0.0
gpu_util_pct,1788782224.0,0.0
gpu_util_pct,1788782225.0,0.0
gpu_util_pct,1788782226.0,0.0
gpu_util_pct,1788782227.0,0.0
gpu_util_pct,1788782228.0,0.0
gpu_util_pct,1788782229.0,0.0
gpu_util_pct,1788782230.0,0.0
gpu_util_pct,1788782231.0,0.0
gpu_util_pct,1788782232.0,0.0
gpu_util_pct,1788782233.0,0.0
gpu_util_pct,1788782234.0,0.0
gpu_util_pct,1788782235.0,0.0
gpu_util_pct,1788782236.0,0.0
gpu_util_pct,1788782237.0,0.0
gpu_util_pct,1788782238.0,0.0
gpu_util_pct,1788782239.0,0.0
gpu_util_pct,1788782240.0,17.0
gpu_util_pct,1788782241.0,100.0
gpu_util_pct,1788782242.0,99.0
gpu_util_pct,1788782243.0,100.0
gpu_util_pct,1788782244.0,100.0
gpu_util_pct,1788782245.0,100.0
gpu_util_pct,1788782246.0,100.0
gpu_util_pct,1788782247.0,100.0
gpu_util_pct,1788782248.0,100.0
gpu_util_pct,1788782249.0,100.0
gpu_util_pct,1788782250.0,100.0
gpu_util_pct,1788782251.0,100.0
gpu_util_pct,1788782252.0,100.0
