label,max_kv_usage_pct,max_running,max_waiting,max_waiting_capacity,capacity_waiting_sample_fraction_pct,preemptions_delta,ttft_p50_ms,ttft_p95_ms,ttft_p99_ms,mean_content_event_itl_p50_ms,mean_content_event_itl_p95_ms,e2e_p50_ms,e2e_p95_ms,request_throughput_rps,output_throughput_tps,batch_makespan_s,kv_cache_memory_bytes,kv_cache_size_tokens,kv_cache_max_concurrency,kv_pool_gib,ttft_p95_ms_cv_pct,output_throughput_tps_cv_pct,mean_content_event_itl_p95_ms_cv_pct,e2e_p95_ms_cv_pct
baseline_66p54GiB,10.502793296089386,8.0,7.0,7.0,77.15736040609137,0.0,5756.636733189225,10391.766197932884,10821.432366212828,45.0791651639706,74.70876635052262,11482.25859599188,11739.265384990722,0.6782558745319295,86.81675194008697,11.794958658516407,71442297140,2491696,76.04052734375,66.53582410886884,0.5331228285718624,0.5089862292637882,0.5010369621644833,0.49965528188678887
kv_14GiB,49.91607409894101,8.0,7.0,7.0,77.66497461928934,0.0,5774.730489123613,10441.6027483996,10874.22233457677,45.26340475261915,75.0663844670543,11523.592315148562,11789.960403274745,0.6760428551730581,86.53348546215143,11.833569334819913,15032385536,524288,16.0,14.0,0.3767287406923276,0.36439482230237996,0.3628461778380635,0.36122466368685263
kv_7p78GiB,89.8483849703362,8.0,7.0,7.0,77.77777777777779,0.0,5777.100760489702,10446.654465608299,10879.048354290426,45.28551466953684,75.15815919316483,11529.078886378556,11795.09363961406,0.6758117247881792,86.50390077288694,11.83761646412313,8351580160,291280,8.88916015625,7.77801513671875,0.42100794419320553,0.38141632542372766,0.35645888001908527,0.41396680932039287
kv_7GiB,99.83519501922726,8.0,7.0,7.0,77.55102040816327,0.0,5780.67358629778,10445.726954797283,10877.514779092744,45.2480153803985,75.11713976099148,11529.410426970571,11795.719577744603,0.6757659768043763,86.49804503096017,11.83841784670949,7516192768,262144,8.0,7.0,0.32282102656763284,0.3071032343858793,0.5986542222474425,0.3013542500240931
kv_6p75GiB,90.6184718617459,7.0,7.0,7.0,80.0,0.0,5778.349650092423,10579.206864070145,11071.454812865704,44.8647883104703,67.66193242941608,11476.684181019664,11842.460789252073,0.6699173126073137,85.74941601373615,11.941772289574146,7247757312,252768,7.7138671875,6.75,0.3199093224471436,0.3285508746664907,0.5585221811740282,0.3109633179186704
