label,n_requests,pooled_visible_ttft_p50_ms,pooled_visible_ttft_p95_ms,pooled_visible_ttft_p99_ms,pooled_e2e_p50_ms,pooled_e2e_p95_ms,pooled_per_request_mean_content_itl_p50_ms,pooled_per_request_mean_content_itl_p95_ms
baseline_66p54GiB,40,5734.341725241393,10930.806529149413,10969.80861584656,11464.884602930397,11766.422801138833,44.92777762714568,77.82375254103634
kv_14GiB,40,5758.363833185285,10982.826813776046,10991.593970395625,11490.07126595825,11816.647765319794,45.098265456989054,78.19034941164469
kv_7p78GiB,40,5753.937182947993,10987.321638688445,11002.335895691067,11496.99389282614,11821.57705500722,45.188429065078026,78.27460170122171
kv_7GiB,40,5758.443109691143,10985.491127707064,10989.432751554996,11491.66750535369,11821.650470932946,45.265017989792426,78.23510285554909
kv_6p75GiB,40,5758.156573399901,11194.273766083643,11199.075268683955,11447.717095259577,11922.097179340199,44.879560723214965,68.02556918031998
