config_label,chunked_prefill,max_num_batched_tokens,trial_kind,background_concurrency,interferer_input_tokens,interferer_count,n_runs,p95_stall_ratio_median,p95_stall_ratio_ci_low,p95_stall_ratio_ci_high,p99_stall_ratio_median,p99_stall_ratio_ci_low,p99_stall_ratio_ci_high,impact_gap_max_ms_median,impact_gap_max_ms_ci_low,impact_gap_max_ms_ci_high,background_event_rate_ratio_median,background_event_rate_ratio_ci_low,background_event_rate_ratio_ci_high,long_ttft_p50_ms_median,long_ttft_p50_ms_ci_low,long_ttft_p50_ms_ci_high,long_e2e_p50_ms_median,long_e2e_p50_ms_ci_low,long_e2e_p50_ms_ci_high,impact_max_waiting_median,impact_max_waiting_ci_low,impact_max_waiting_ci_high,impact_max_kv_usage_median,impact_max_kv_usage_ci_low,impact_max_kv_usage_ci_high
off_32768,0,32768,control,64,16384,1,5,1.0282361892874288,0.9975180740570322,1.1925212532959923,1.0263701917676051,0.77603845804965,1.4568758694029178,15.434199012815952,12.339038774371147,29.485768638551235,0.9151816326336296,0.9106040405883539,0.9208812126201985,,,,,,,0.0,0.0,0.0,0.07766789744119396,0.07766789744119396,0.07808747966639984
on_32768,1,32768,control,64,16384,1,5,0.9812117586238497,0.880727356122541,1.152249471405863,1.0610817778172936,0.753356401186989,1.1905272975052026,13.97169753909111,12.821057811379433,20.220397971570492,0.9150273163253864,0.9111186349597098,0.9233512804247255,,,,,,,0.0,0.0,0.0,0.07766789744119396,0.07766789744119396,0.07766789744119396
on_16384,1,16384,control,64,16384,1,5,1.035382089607769,0.956720388255039,1.0566716616072782,0.9929202316617859,0.8750839625704614,1.1123488253539946,20.696397870779037,13.6620057746768,27.663479559123516,0.9147646989485302,0.9056527441927594,0.9180748319805623,,,,,,,0.0,0.0,0.0,0.07655599811664104,0.07655599811664104,0.07696321087258062
on_8192,1,8192,control,64,16384,1,5,1.021028406668488,0.969724880404451,1.1386681335468702,1.060878715252722,1.0049200060967738,1.2643236366045894,13.701049610972404,13.66037130355835,21.171451546251774,0.9119334064243872,0.9063651036813285,0.9186391736501327,,,,,,,0.0,0.0,0.0,0.07601238233621832,0.07601238233621832,0.07641670351885776
on_4096,1,4096,control,64,16384,1,5,1.0255567315754974,0.7689123873867119,1.0773927761310982,0.9932448361249159,0.6670883671374886,1.0459462697715787,13.665019534528255,13.137685135006905,27.647970244288445,0.9131472088354752,0.9111694869518325,0.9385436630604158,,,,,,,0.0,0.0,0.0,0.07583418866926517,0.07374989767453577,0.07672605012107614
on_2048,1,2048,control,64,16384,1,5,0.9941113107694183,0.9846071534038476,1.1115694805893703,0.9915511178091623,0.9814131794570525,1.0634029122135225,14.75459709763527,13.08634877204895,27.96931564807892,0.9141403507080975,0.9127428804181723,0.9169127697423795,,,,,,,0.0,0.0,0.0,0.07563204807462631,0.07563204807462631,0.07603434620268279
on_1024,1,1024,control,64,16384,1,5,1.0463794178684753,0.9587840459112351,1.1821764365416023,0.9990587487975838,0.853589839801001,1.0492470486812542,15.085019171237946,12.127057649195194,21.537321619689465,0.9123914384742183,0.9064040100984093,0.9298707910981115,,,,,,,0.0,0.0,0.0,0.07548958666892702,0.07521959979154502,0.07616257781032587
on_512,1,512,control,64,16384,1,5,1.060872355098434,0.939645196187975,1.1710746148511268,1.0255423788766622,0.9377447420665244,1.4037652562563403,25.945418514311314,16.1672905087471,44.54895481467247,0.9134307053479588,0.9076635034641427,0.9157440372890336,,,,,,,0.0,0.0,0.0,0.07463454742880815,0.07458433496733052,0.07470358956333989
off_32768,0,32768,inject,64,8192,1,5,16.257011495997805,13.971337360630953,16.757006903752494,13.872792957727903,9.693172977228345,15.037693300274704,173.97309746593237,167.0129457488656,174.7301034629345,0.18858946846018734,0.14783575861505158,0.2438074584940085,220.39297316223383,214.17538542300463,236.47040780633688,362.86624427884817,350.08218605071306,372.2036387771368,0.0,0.0,0.0,0.07396911874822487,0.07394975341475385,0.07436288052880269
on_32768,1,32768,inject,64,8192,1,5,17.37913578847507,14.965024271698987,17.63225342818617,14.652077014363556,10.3724207282894,16.190121515986615,175.3111518919468,174.14818052202463,177.9210865497589,0.16993970592396654,0.13640345013164062,0.21048187911802355,217.5214048475027,209.32753663510084,227.9804376885295,356.97692167013884,345.9175154566765,363.702192902565,0.0,0.0,0.0,0.07405949030442305,0.07394975341475385,0.07436288052880269
