timestamp, utilization.gpu [%], memory.used [MiB], temperature.gpu, power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz]
2026/09/10 04:25:39.631, 9 %, 847 MiB, 55, 112.45 W, 1410 MHz, 1512 MHz
2026/09/10 04:25:41.632, 17 %, 827 MiB, 54, 113.43 W, 1410 MHz, 1512 MHz
2026/09/10 04:25:43.634, 1 %, 1047 MiB, 56, 298.64 W, 1410 MHz, 1512 MHz
2026/09/10 04:25:45.635, 8 %, 827 MiB, 55, 113.92 W, 1410 MHz, 1512 MHz
2026/09/10 04:25:47.636, 89 %, 1047 MiB, 56, 115.31 W, 1410 MHz, 1512 MHz
2026/09/10 04:25:49.637, 0 %, 827 MiB, 55, 114.10 W, 1410 MHz, 1512 MHz
2026/09/10 04:25:51.638, 18 %, 887 MiB, 56, 114.92 W, 1410 MHz, 1512 MHz
2026/09/10 04:25:53.639, 1 %, 1027 MiB, 57, 300.99 W, 1410 MHz, 1512 MHz
2026/09/10 04:25:55.640, 0 %, 767 MiB, 56, 115.01 W, 1410 MHz, 1512 MHz
2026/09/10 04:25:57.642, 0 %, 827 MiB, 55, 114.12 W, 1410 MHz, 1512 MHz
2026/09/10 04:25:59.643, 1 %, 525 MiB, 54, 113.43 W, 1410 MHz, 1512 MHz
2026/09/10 04:26:01.644, 0 %, 525 MiB, 54, 113.03 W, 1410 MHz, 1512 MHz
2026/09/10 04:26:03.645, 1 %, 525 MiB, 54, 112.74 W, 1410 MHz, 1512 MHz
2026/09/10 04:26:05.647, 1 %, 525 MiB, 54, 112.55 W, 1410 MHz, 1512 MHz
2026/09/10 04:26:07.648, 1 %, 525 MiB, 53, 112.35 W, 1410 MHz, 1512 MHz
2026/09/10 04:26:09.649, 3 %, 525 MiB, 53, 112.26 W, 1410 MHz, 1512 MHz
2026/09/10 04:26:11.650, 0 %, 525 MiB, 53, 112.06 W, 1410 MHz, 1512 MHz
2026/09/10 04:26:13.652, 0 %, 525 MiB, 53, 112.16 W, 1410 MHz, 1512 MHz
2026/09/10 04:26:15.653, 0 %, 525 MiB, 53, 112.06 W, 1410 MHz, 1512 MHz
2026/09/10 04:26:17.655, 0 %, 525 MiB, 53, 111.85 W, 1410 MHz, 1512 MHz
2026/09/10 04:26:19.657, 0 %, 525 MiB, 53, 111.95 W, 1410 MHz, 1512 MHz
2026/09/10 04:26:21.658, 0 %, 525 MiB, 53, 111.75 W, 1410 MHz, 1512 MHz
2026/09/10 04:26:23.659, 1 %, 525 MiB, 53, 111.76 W, 1410 MHz, 1512 MHz
2026/09/10 04:26:25.660, 2 %, 525 MiB, 53, 111.96 W, 1410 MHz, 1512 MHz
2026/09/10 04:26:27.661, 0 %, 525 MiB, 53, 111.76 W, 1410 MHz, 1512 MHz
2026/09/10 04:26:29.662, 1 %, 525 MiB, 52, 111.55 W, 1410 MHz, 1512 MHz
2026/09/10 04:26:31.663, 0 %, 525 MiB, 52, 111.45 W, 1410 MHz, 1512 MHz
2026/09/10 04:26:33.664, 0 %, 525 MiB, 52, 111.45 W, 1410 MHz, 1512 MHz
2026/09/10 04:26:35.665, 0 %, 525 MiB, 52, 111.36 W, 1410 MHz, 1512 MHz
2026/09/10 04:26:37.666, 0 %, 525 MiB, 52, 111.45 W, 1410 MHz, 1512 MHz
2026/09/10 04:26:39.667, 0 %, 525 MiB, 52, 111.26 W, 1410 MHz, 1512 MHz
2026/09/10 04:26:41.669, 0 %, 525 MiB, 52, 111.36 W, 1410 MHz, 1512 MHz
2026/09/10 04:26:43.671, 0 %, 525 MiB, 52, 111.26 W, 1410 MHz, 1512 MHz
2026/09/10 04:26:45.672, 0 %, 525 MiB, 52, 111.16 W, 1410 MHz, 1512 MHz
2026/09/10 04:26:47.673, 1 %, 525 MiB, 52, 111.16 W, 1410 MHz, 1512 MHz
2026/09/10 04:26:49.674, 0 %, 525 MiB, 52, 111.07 W, 1410 MHz, 1512 MHz
2026/09/10 04:26:51.675, 0 %, 525 MiB, 52, 111.16 W, 1410 MHz, 1512 MHz
2026/09/10 04:26:53.676, 0 %, 565 MiB, 52, 109.89 W, 1410 MHz, 1512 MHz
2026/09/10 04:26:55.677, 0 %, 565 MiB, 52, 111.07 W, 1410 MHz, 1512 MHz
2026/09/10 04:26:57.678, 0 %, 525 MiB, 52, 110.97 W, 1410 MHz, 1512 MHz
2026/09/10 04:26:59.679, 0 %, 525 MiB, 52, 110.97 W, 1410 MHz, 1512 MHz
2026/09/10 04:27:01.680, 1 %, 525 MiB, 52, 110.97 W, 1410 MHz, 1512 MHz
2026/09/10 04:27:03.682, 1 %, 525 MiB, 52, 110.87 W, 1410 MHz, 1512 MHz
2026/09/10 04:27:05.683, 0 %, 525 MiB, 52, 110.77 W, 1410 MHz, 1512 MHz
2026/09/10 04:27:07.684, 0 %, 525 MiB, 52, 110.86 W, 1410 MHz, 1512 MHz
2026/09/10 04:27:09.685, 1 %, 525 MiB, 52, 110.87 W, 1410 MHz, 1512 MHz
