workload_category,requests,same_output_hash_count,same_output_hash_rate,same_output_tokens_count,same_output_tokens_rate,same_finish_reason_count,same_finish_reason_rate,median_model_ttft_speedup,median_request_ttft_speedup,median_tpot_speedup,median_stream_itl_speedup,median_decode_throughput_speedup,median_observed_e2e_speedup,median_peak_allocated_reduction_pct
ALL,1000,91,0.091,255,0.255,877,0.877,1.2415275905904601,1.2302004002458542,1.21301060589206,1.2117346964254798,1.21301060589206,1.2075876444210407,0.0
short_interactive,300,23,0.07666666666666666,79,0.2633333333333333,256,0.8533333333333334,1.2219872912974223,1.2110978462478972,1.2133743956713803,1.212273456385386,1.21337439567138,1.2018410582155425,0.0
knowledge_qa,200,5,0.025,45,0.225,164,0.82,1.228052554759838,1.2168205945627186,1.2182243673614872,1.2171528583030942,1.2182243673614872,1.2092962070557745,0.0
coding_request,150,3,0.02,50,0.3333333333333333,123,0.82,1.2167962524003886,1.2087019481986896,1.2094648483026589,1.2083386860822447,1.2094648483026589,1.2060195006551382,0.0
document_qa,150,35,0.23333333333333334,46,0.30666666666666664,148,0.9866666666666667,1.5511935364577873,1.5393053968577481,1.2147823982731656,1.213681591330077,1.2147823982731656,1.2582096658838857,0.09994904370943525
long_context_qa,100,23,0.23,28,0.28,97,0.97,2.2840824480429127,2.253192292795166,1.2085463961393463,1.2070613621055464,1.2085463961393461,1.5741868309657334,10.722189280819089
long_output,100,2,0.02,7,0.07,89,0.89,1.2143567098958283,1.2043175765786396,1.2085527464400885,1.2080763609366354,1.2085527464400885,1.1553190730011766,0.0
