token_position_band,eager_tokens,flash_tokens,eager_gpu_tpot_p50_ms,eager_gpu_tpot_p95_ms,flash_gpu_tpot_p50_ms,flash_gpu_tpot_p95_ms,p50_speedup_ratio
2-32,28346,28733,17.920000076293945,19.06580877304077,14.715935707092283,15.645695686340332,1.2177275324502455
33-64,22861,24311,17.870431900024414,18.942975997924805,14.66425609588623,15.548863887786865,1.2186388305805442
65-128,33604,36166,17.86675262451172,18.934249305725096,14.754688262939451,15.664128303527832,1.2109203736543246
129-256,41748,44751,17.893407821655273,18.97164726257324,14.793343544006348,15.698895931243896,1.2095580534871675
257-512,40969,43279,17.912256240844727,19.04353904724121,14.812159538269045,15.701049232482909,1.2092940394387597
513-1024,15133,15782,17.949695587158203,19.125247955322266,14.830592155456545,15.79505763053894,1.2103155018361194
