backend,decode_token_events,gpu_tpot_mean_ms,gpu_tpot_p50_ms,gpu_tpot_p95_ms,gpu_tpot_p99_ms,gpu_tpot_p999_ms,gpu_tpot_max_ms,stream_itl_p50_ms,stream_itl_p95_ms,stream_itl_p99_ms,stream_itl_p999_ms,stream_itl_max_ms,stream_cpu_p50_ms,stream_cpu_p99_ms,gpu_over_25ms_count,gpu_over_25ms_rate,gpu_over_30ms_count,gpu_over_30ms_rate
eager,182661,18.02042828762863,17.898496627807617,19.00432014465332,19.96778869628906,24.269348373413223,58.86259078979492,18.07135900071444,19.2238620002172,20.227760200214103,24.52749805972426,59.62607999936154,0.0362709997716592,0.09433600007469055,135,0.0007390740223693071,28,0.0001532894268617822
flash,193022,14.864332443792488,14.767871856689451,15.676446294784546,16.358238906860354,20.051666572571104,62.9023666381836,14.922154500027318,15.838769049832989,16.530145080041624,20.27402185899838,63.67066700022406,0.0346499999750449,0.08235780005406937,66,0.0003419299354477728,19,9.843437535617702e-05
