input_band,requests,input_tokens_min,input_tokens_p50,input_tokens_max,eager_request_ttft_ms_p50,flash_request_ttft_ms_p50,paired_request_ttft_speedup_p50,paired_model_ttft_speedup_p50
<=128,712,33,41.0,128,21.164531000522402,17.484366000019236,1.2144191461913953,1.2246049274615642
129-512,35,129,200.0,510,25.189322999722208,23.315325999874403,1.1065897734648518,1.109055613540224
513-1024,5,566,735.0,1024,63.73711899959744,54.195484000047145,1.1760595956582285,1.1826443269736513
1025-2048,148,1031,1537.5,2046,167.9543714999454,109.12862350008368,1.539695191482753,1.5543229359451711
3073-4096,100,3077,3550.5,4085,574.891568500334,254.00585800002773,2.253192292795166,2.2840824480429127
