sequence_band,eager_tokens,flash_tokens,eager_gpu_tpot_p50_ms,eager_gpu_tpot_p95_ms,flash_gpu_tpot_p50_ms,flash_gpu_tpot_p95_ms,p50_speedup_ratio
<=128,47994,49353,17.86137580871582,18.940927505493164,14.630656242370604,15.528921890258788,1.2208185000607836
129-256,46449,48930,17.87596893310547,18.940927505493164,14.798656463623049,15.710542583465573,1.207945395384158
257-512,48040,50233,17.914544105529785,19.02762765884399,14.805888175964355,15.69587230682373,1.2099607867234856
513-1024,26517,28137,17.92697525024414,19.08918991088867,14.82198429107666,15.74666233062744,1.2094855113992256
1025-2048,8997,10601,18.01679992675781,19.147314834594727,14.831583976745604,15.745792388916016,1.2147589869703934
2049-3072,203,304,17.97222328186035,18.994953536987303,14.761856079101562,15.59352331161499,1.2174772051397875
3073-4096,4318,5226,17.98755168914795,19.220633602142332,14.849296092987062,15.824111938476562,1.211340360951049
>4096,143,238,17.871904373168945,18.776064109802245,14.746623992919922,15.654311656951904,1.2119319229777281
