workload_category,backend,requests,input_tokens_p50,input_tokens_p95,output_tokens_p50,output_tokens_p95,eos_rate,length_rate,request_ttft_ms_p50,request_ttft_ms_p95,mean_tpot_ms_p50,mean_stream_itl_ms_p50,decode_tokens_per_s_p50,e2e_request_ms_p50,peak_allocated_gib_p50,peak_reserved_gib_p50
short_interactive,eager,300,42.0,90.05000000000001,118.5,256.0,0.7633333333333333,0.23666666666666666,21.178776000397193,22.544217550193935,17.930254856745403,18.10396413296356,55.771655676348715,2181.2676669997018,2.903860569000244,9.3203125
short_interactive,flash,300,42.0,90.05000000000001,150.0,256.0,0.7566666666666667,0.24333333333333335,17.51085249998141,18.52899705002073,14.794052623998265,14.949820719719474,67.59473060123557,2247.7189654999847,2.903860569000244,6.970703125
knowledge_qa,eager,200,39.0,44.0,80.5,128.0,0.75,0.25,21.112724999966304,22.394658750363305,17.954426363875996,18.13409428072705,55.69657219503577,1471.71617999993,2.9034910202026367,9.3203125
knowledge_qa,flash,200,39.0,44.0,90.0,128.0,0.74,0.26,17.401079500018568,18.35889299997291,14.737252150793475,14.899502613671245,67.85525482447943,1349.992293000014,2.9034910202026367,6.970703125
coding_request,eager,150,48.5,261.8499999999992,447.5,512.0,0.62,0.38,21.320243499758362,32.252378050361536,17.952857006452646,18.118860109882824,55.7014407293933,8087.533210999936,2.9060235023498535,9.3203125
coding_request,flash,150,48.5,261.8499999999992,456.5,512.0,0.5733333333333334,0.4266666666666667,17.572942500009958,30.443409700154685,14.850698403206035,15.001728522558007,67.33690049621265,6839.071159500008,2.906036853790283,6.970703125
document_qa,eager,150,1524.5,1991.85,33.0,108.54999999999998,1.0,0.0,166.1486339999101,241.53297285006371,18.117206479988845,18.295819405295447,55.19614744747747,753.6130915000285,3.3662824630737305,9.3203125
document_qa,flash,150,1524.5,1991.85,40.5,176.5999999999998,0.9866666666666667,0.013333333333333334,106.8834825000522,141.2414717999809,14.94065280087762,15.104155510503482,66.93148019368932,702.0982650001315,3.3627495765686035,6.970703125
long_context_qa,eager,100,3550.5,3993.0499999999997,28.5,121.39999999999998,0.99,0.01,574.891568500334,717.8795583497958,18.07631669198313,18.246067146410542,55.32100475508245,1095.4519100000653,4.476121664047241,9.3203125
long_context_qa,flash,100,3550.5,3993.0499999999997,29.5,200.0,0.98,0.02,254.00585800002773,293.28274045001314,14.959744054676491,15.119247931104576,66.84606634275102,703.2575720000409,3.9961774349212646,6.970703125
long_output,eager,100,55.5,346.1,571.5,1024.0,0.9,0.1,21.524279000004753,32.929030500008594,17.976012001865406,18.154042748105276,55.629691387398154,10442.927447500097,2.912257194519043,9.3203125
long_output,flash,100,55.5,346.1,597.5,1024.0,0.89,0.11,17.70952100002887,30.266891500025395,14.876870266972954,15.03086448863709,67.21844076794056,9042.147505500112,2.9118785858154297,6.970703125
