backend,requests,total_output_tokens,eos_count,length_count,eos_rate,length_rate,service_time_sum_minutes,output_tokens_per_service_second,max_peak_allocated_gib,max_peak_reserved_gib,start_allocated_min_gib,start_allocated_max_gib,model_ttft_ms_mean,model_ttft_ms_p50,model_ttft_ms_p95,model_ttft_ms_p99,model_ttft_ms_max,request_ttft_ms_mean,request_ttft_ms_p50,request_ttft_ms_p95,request_ttft_ms_p99,request_ttft_ms_max,mean_tpot_ms_mean,mean_tpot_ms_p50,mean_tpot_ms_p95,mean_tpot_ms_p99,mean_tpot_ms_max,mean_stream_itl_ms_mean,mean_stream_itl_ms_p50,mean_stream_itl_ms_p95,mean_stream_itl_ms_p99,mean_stream_itl_ms_max,decode_tokens_per_s_mean,decode_tokens_per_s_p50,decode_tokens_per_s_p95,decode_tokens_per_s_p99,decode_tokens_per_s_max,e2e_request_ms_mean,e2e_request_ms_p50,e2e_request_ms_p95,e2e_request_ms_p99,e2e_request_ms_max,peak_allocated_gib_mean,peak_allocated_gib_p50,peak_allocated_gib_p95,peak_allocated_gib_p99,peak_allocated_gib_max,peak_reserved_gib_mean,peak_reserved_gib_p50,peak_reserved_gib_p95,peak_reserved_gib_p99,peak_reserved_gib_max
eager,1000,183661,811,189,0.811,0.189,57.07431396130007,53.63212370353197,4.962948322296143,10.4765625,2.88515853881836,2.88515853881836,98.04606683921814,20.4443998336792,566.2330841064452,686.339613647461,736.8448486328125,100.10081345100026,21.54597949993331,574.2726884503553,693.8327185702019,744.5556040001975,18.04996216628905,17.978819631930207,18.48235566698775,19.050764733916832,23.747213622271005,18.231779251249886,18.15515430685914,18.721094189839697,19.38960721154072,24.02826976271233,55.4162162878708,55.62100407588038,56.22231810225648,56.49821975334024,56.84868133421627,3424.458837678004,1920.3881814996748,10406.33819094996,18355.076393889667,19817.22225900012,3.136849223613739,2.905991554260254,4.469622778892516,4.833696999549866,4.962948322296143,9.368376953125,9.3203125,10.4765625,10.4765625,10.4765625
flash,1000,194022,796,204,0.796,0.204,49.244625480583366,65.66604920723813,4.162610530853272,8.126953125,2.88515853881836,2.88515853881836,53.57628296661377,16.71063995361328,247.24947280883788,280.39610412597654,290.4244689941406,55.49691730300663,17.722271500019815,253.71523810001688,287.4556671500818,297.7496749999773,14.85059438218683,14.843970114914253,15.096688381725976,15.294565433343251,18.57045546854575,15.008265188249366,14.999828305021232,15.261613590732933,15.474617356334344,18.797145968501425,67.34745163397419,67.36742207600304,68.33905922106281,68.63755963630253,69.12328974797347,2954.677528835002,1770.0474574999703,8962.730043449872,15366.71942378004,16987.341113000184,3.087305718898773,2.9060287475585938,3.99371817111969,4.1213130235671995,4.162610530853272,7.037412109375,6.970703125,8.126953125,8.126953125,8.126953125
