timestamp, index, name, temperature.gpu, power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], memory.used [MiB], utilization.gpu [%]
2026/09/10 08:48:14.249, 1, NVIDIA A100-SXM4-80GB, 34, 88.23 W, 390 MHz, 1593 MHz, 0 MiB, 0 %
2026/09/10 08:48:14.249, 2, NVIDIA A100-SXM4-80GB, 30, 65.06 W, 210 MHz, 1593 MHz, 0 MiB, 0 %
2026/09/10 08:48:14.249, 3, NVIDIA A100-SXM4-80GB, 28, 66.82 W, 210 MHz, 1593 MHz, 0 MiB, 0 %
2026/09/10 08:48:16.249, 0, NVIDIA A100-SXM4-80GB, 43, 72.28 W, 210 MHz, 1593 MHz, 1 MiB, 0 %
2026/09/10 08:48:16.254, 1, NVIDIA A100-SXM4-80GB, 33, 67.31 W, 210 MHz, 1593 MHz, 1 MiB, 0 %
2026/09/10 08:48:16.255, 2, NVIDIA A100-SXM4-80GB, 30, 65.12 W, 210 MHz, 1593 MHz, 0 MiB, 0 %
2026/09/10 08:48:16.255, 3, NVIDIA A100-SXM4-80GB, 28, 66.82 W, 210 MHz, 1593 MHz, 0 MiB, 0 %
2026/09/10 08:48:18.256, 0, NVIDIA A100-SXM4-80GB, 44, 92.78 W, 1140 MHz, 1593 MHz, 422 MiB, 0 %
2026/09/10 08:48:18.257, 1, NVIDIA A100-SXM4-80GB, 33, 87.90 W, 1140 MHz, 1593 MHz, 422 MiB, 2 %
2026/09/10 08:48:18.258, 2, NVIDIA A100-SXM4-80GB, 30, 65.06 W, 210 MHz, 1593 MHz, 4 MiB, 0 %
2026/09/10 08:48:18.259, 3, NVIDIA A100-SXM4-80GB, 29, 75.53 W, 750 MHz, 1593 MHz, 4 MiB, 0 %
