timestamp, index, name, temperature.gpu, power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], memory.used [MiB], utilization.gpu [%]
2026/09/10 08:47:05.891, 3, NVIDIA A100-SXM4-80GB, 28, 66.75 W, 210 MHz, 1593 MHz, 4 MiB, 0 %
2026/09/10 08:47:07.892, 0, NVIDIA A100-SXM4-80GB, 62, 319.18 W, 1410 MHz, 1593 MHz, 79306 MiB, 92 %
2026/09/10 08:47:07.894, 1, NVIDIA A100-SXM4-80GB, 49, 288.70 W, 1410 MHz, 1593 MHz, 79306 MiB, 92 %
2026/09/10 08:47:07.897, 2, NVIDIA A100-SXM4-80GB, 30, 65.06 W, 210 MHz, 1593 MHz, 4 MiB, 0 %
2026/09/10 08:47:07.900, 3, NVIDIA A100-SXM4-80GB, 28, 66.82 W, 210 MHz, 1593 MHz, 4 MiB, 0 %
2026/09/10 08:47:09.905, 0, NVIDIA A100-SXM4-80GB, 62, 305.89 W, 1410 MHz, 1593 MHz, 79306 MiB, 89 %
2026/09/10 08:47:09.906, 1, NVIDIA A100-SXM4-80GB, 49, 296.52 W, 1410 MHz, 1593 MHz, 79306 MiB, 88 %
2026/09/10 08:47:09.906, 2, NVIDIA A100-SXM4-80GB, 30, 65.06 W, 210 MHz, 1593 MHz, 4 MiB, 0 %
2026/09/10 08:47:09.906, 3, NVIDIA A100-SXM4-80GB, 28, 66.82 W, 210 MHz, 1593 MHz, 4 MiB, 0 %
2026/09/10 08:47:11.907, 0, NVIDIA A100-SXM4-80GB, 63, 294.45 W, 1410 MHz, 1593 MHz, 79306 MiB, 93 %
2026/09/10 08:47:11.907, 1, NVIDIA A100-SXM4-80GB, 50, 353.76 W, 1410 MHz, 1593 MHz, 79306 MiB, 84 %
2026/09/10 08:47:11.908, 2, NVIDIA A100-SXM4-80GB, 30, 65.06 W, 210 MHz, 1593 MHz, 4 MiB, 0 %
2026/09/10 08:47:11.908, 3, NVIDIA A100-SXM4-80GB, 28, 66.82 W, 210 MHz, 1593 MHz, 4 MiB, 0 %
2026/09/10 08:47:13.908, 0, NVIDIA A100-SXM4-80GB, 63, 368.05 W, 1410 MHz, 1593 MHz, 79306 MiB, 88 %
2026/09/10 08:47:13.909, 1, NVIDIA A100-SXM4-80GB, 50, 362.83 W, 1410 MHz, 1593 MHz, 79306 MiB, 97 %
2026/09/10 08:47:13.909, 2, NVIDIA A100-SXM4-80GB, 30, 65.06 W, 210 MHz, 1593 MHz, 4 MiB, 0 %
2026/09/10 08:47:13.918, 3, NVIDIA A100-SXM4-80GB, 28, 66.75 W, 210 MHz, 1593 MHz, 4 MiB, 0 %
2026/09/10 08:47:15.921, 0, NVIDIA A100-SXM4-80GB, 63, 375.37 W, 1410 MHz, 1593 MHz, 79306 MiB, 80 %
2026/09/10 08:47:15.954, 1, NVIDIA A100-SXM4-80GB, 49, 352.23 W, 1410 MHz, 1593 MHz, 79306 MiB, 98 %
2026/09/10 08:47:15.954, 2, NVIDIA A100-SXM4-80GB, 30, 65.06 W, 210 MHz, 1593 MHz, 4 MiB, 0 %
2026/09/10 08:47:15.955, 3, NVIDIA A100-SXM4-80GB, 28, 66.82 W, 210 MHz, 1593 MHz, 4 MiB, 0 %
2026/09/10 08:47:17.955, 0, NVIDIA A100-SXM4-80GB, 62, 312.57 W, 1410 MHz, 1593 MHz, 79306 MiB, 79 %
2026/09/10 08:47:17.955, 1, NVIDIA A100-SXM4-80GB, 48, 361.64 W, 1410 MHz, 1593 MHz, 79306 MiB, 96 %
2026/09/10 08:47:17.956, 2, NVIDIA A100-SXM4-80GB, 30, 65.06 W, 210 MHz, 1593 MHz, 4 MiB, 0 %
2026/09/10 08:47:17.956, 3, NVIDIA A100-SXM4-80GB, 28, 66.82 W, 210 MHz, 1593 MHz, 4 MiB, 0 %
2026/09/10 08:47:19.956, 0, NVIDIA A100-SXM4-80GB, 62, 367.12 W, 1410 MHz, 1593 MHz, 79306 MiB, 96 %
2026/09/10 08:47:19.995, 1, NVIDIA A100-SXM4-80GB, 50, 349.19 W, 1410 MHz, 1593 MHz, 79306 MiB, 82 %
2026/09/10 08:47:19.996, 2, NVIDIA A100-SXM4-80GB, 30, 65.06 W, 210 MHz, 1593 MHz, 4 MiB, 0 %
2026/09/10 08:47:19.996, 3, NVIDIA A100-SXM4-80GB, 28, 66.82 W, 210 MHz, 1593 MHz, 4 MiB, 0 %
2026/09/10 08:47:21.997, 0, NVIDIA A100-SXM4-80GB, 63, 367.45 W, 1410 MHz, 1593 MHz, 79306 MiB, 81 %
2026/09/10 08:47:22.020, 1, NVIDIA A100-SXM4-80GB, 50, 348.33 W, 1410 MHz, 1593 MHz, 79306 MiB, 94 %
2026/09/10 08:47:22.022, 2, NVIDIA A100-SXM4-80GB, 30, 65.06 W, 210 MHz, 1593 MHz, 4 MiB, 0 %
2026/09/10 08:47:22.022, 3, NVIDIA A100-SXM4-80GB, 28, 66.82 W, 210 MHz, 1593 MHz, 4 MiB, 0 %
2026/09/10 08:47:24.023, 0, NVIDIA A100-SXM4-80GB, 61, 347.60 W, 1410 MHz, 1593 MHz, 79306 MiB, 98 %
2026/09/10 08:47:24.023, 1, NVIDIA A100-SXM4-80GB, 48, 329.25 W, 1410 MHz, 1593 MHz, 79306 MiB, 94 %
2026/09/10 08:47:24.023, 2, NVIDIA A100-SXM4-80GB, 30, 65.06 W, 210 MHz, 1593 MHz, 4 MiB, 0 %
