run_label,configured_lambda_req_s,realized_lambda_req_s,request_count,successful_requests,measured_makespan_s,drain_s,max_client_inflight,max_running,max_waiting,max_kv_cache_usage,ttft_slo_ms,itl_slo_ms,ttft_slo_pass_count,itl_slo_pass_count,overall_slo_pass_count,ttft_slo_pass_rate,itl_slo_pass_rate,overall_slo_pass_rate,request_throughput_req_s,request_goodput_req_s,total_output_tokens,slo_passing_output_tokens,output_throughput_tok_s,output_goodput_tok_s,goodput_efficiency_request,goodput_efficiency_output,ttft_p50_ms,ttft_p95_ms,ttft_p99_ms,itl_p50_ms,itl_p95_ms,itl_p99_ms,e2e_p50_ms,e2e_p95_ms,e2e_p99_ms
lambda_0p4,0.4,0.3455210222603422,120,120,345.05241229600506,0.6450033877962369,4,4.0,0.0,0.03431409436375954,300.0,15.0,112,117,109,0.9333333333333333,0.975,0.9083333333333333,0.3477732533487039,0.315894038458406,22603,21657,65.50599037867295,62.764377898107334,0.9083333333333332,0.9581471486085918,28.380542498780414,315.9272423497896,493.2171991188807,8.106125742638877,9.45382679852523,18.726172411406885,987.2873154999979,5388.666139096312,8257.102487244192
lambda_0p6,0.6,0.5182815333905132,120,120,230.27323944900127,0.6683001768620045,4,4.0,0.0,0.03385049365303239,300.0,15.0,116,119,115,0.9666666666666667,0.9916666666666667,0.9583333333333334,0.5211200410744057,0.4994067060296388,22349,22212,97.0542649830991,96.4593196028725,0.9583333333333334,0.9938699718108194,27.786346505308757,246.16507375139918,414.4876775495505,8.135585113765186,9.256734166128401,13.22034957236265,948.3711239990953,5542.599287953998,7307.201122328843
lambda_0p8,0.8,0.6910420445206844,120,120,173.2075366919962,1.0038322378917997,5,5.0,0.0,0.034978843441466845,300.0,15.0,119,118,117,0.9916666666666667,0.9833333333333333,0.975,0.6928104994264093,0.6754902369407491,23128,23083,133.5276769227833,133.26787298549837,0.975,0.9980543064683499,26.03149999777088,236.51015180294053,249.38481983917882,8.141713216242298,9.345775657659782,16.433499681442,960.4752055020072,5778.692451851018,8276.33098430044
lambda_1,1.0,0.8638025556508555,120,120,138.8557958599995,1.0928322967159545,5,5.0,0.0,0.038857545839210195,300.0,15.0,119,119,118,0.9916666666666667,0.9916666666666667,0.9833333333333333,0.8642059141772467,0.8498024822742926,22963,22931,165.37300339376762,165.14254848332035,0.9833333333333333,0.9986064538605584,26.889753000432393,224.07484264695083,250.12540732241177,8.169252318838463,9.101873972797216,10.322419685488684,938.6403240023355,6243.950630398103,8689.555726500548
lambda_1p5,1.5,1.2957038334762834,120,120,92.88389291799831,1.0419172091426248,6,6.0,0.0,0.039139633286318753,300.0,15.0,119,119,118,0.9916666666666667,0.9916666666666667,0.9833333333333333,1.2919355146531262,1.270403256075574,21968,21936,236.5103282158323,236.16581207859144,0.9833333333333333,0.998543335761107,26.654783003323246,224.92655765163357,250.32080351869809,8.258136117200365,9.980454062858877,13.133643991443492,917.5208704982651,4928.413140954215,8586.433032550707
lambda_2p5,2.5,2.1595063891271375,120,120,58.770613112996216,3.6654276876827723,9,9.0,0.0,0.03222849083215795,300.0,15.0,119,119,118,0.9916666666666667,0.9916666666666667,0.9833333333333333,2.041836789575092,2.007806176415507,23309,23277,396.60978106838184,396.0652912578285,0.9833333333333333,0.9986271397314342,28.53823000259581,230.1352549497096,248.13905874871125,8.547716205370085,10.681729008645465,12.501935077811247,1023.846821502957,6292.800397851532,9180.881905585193
lambda_3p5,3.5,3.0233089447779924,120,120,42.9395308710009,3.578684138634152,12,12.0,0.0,0.04478138222849082,300.0,15.0,119,119,118,0.9916666666666667,0.9916666666666667,0.9833333333333333,2.794627644174885,2.7480505167719707,22260,22228,518.4034279944412,517.6581939559945,0.9833333333333334,0.9985624438454626,28.63764899666421,229.17928699680488,252.22472754241608,8.977681553591701,11.79785046505357,14.197304686044163,999.7508609994838,5753.351470050256,9148.64550274273
lambda_3p75,3.75,3.2392595836907065,120,120,41.19793201200082,4.461141728458529,13,13.0,0.0,0.04520451339915377,300.0,15.0,119,119,118,0.9916666666666667,0.9916666666666667,0.9833333333333333,2.9127675623389155,2.8642214362999336,22541,22509,547.1391135223458,546.3623755057221,0.9833333333333334,0.9985803646688256,29.11304349618149,232.65415994428622,251.25474854830827,9.005567263877351,11.832619783444898,13.837903646442673,1014.5094899999094,6767.803160849869,9185.607214593183
lambda_4,4.0,3.455210222603422,120,120,40.63868800600176,6.197947115180874,15,14.0,0.0,0.052891396332863216,300.0,15.0,112,112,104,0.9333333333333333,0.9333333333333333,0.8666666666666667,2.952851233343894,2.559137735564708,22938,19403,564.4375132536853,477.45143733809647,0.8666666666666667,0.8458889179527422,30.673532499349676,559.2779441951277,1622.191789110586,9.095666239428281,17.960687090017775,31.567548423950818,1080.337198000052,7686.557795545376,9073.212320367238
