interferer_input_tokens,config_label,max_num_batched_tokens,n_runs,long_ttft_p50_ms_median,long_ttft_p50_ms_ci_low,long_ttft_p50_ms_ci_high,impact_gap_p99_ms_median,impact_gap_p99_ms_ci_low,impact_gap_p99_ms_ci_high,p99_stall_ratio_median,p99_stall_ratio_ci_low,p99_stall_ratio_ci_high,meets_ttft_slo,meets_gap_slo,meets_both_slos,pareto_optimal
8192,off_32768,32768,5,220.39297316223383,214.17538542300463,236.47040780633688,173.95710626617074,166.9891621172428,174.66652733273804,13.872792957727903,9.693172977228345,15.037693300274704,True,False,False,True
8192,on_1024,1024,5,403.7605272606015,394.64659336954355,438.4957365691662,47.27240305393934,45.07665212266147,54.692823346704245,3.019950439097502,2.389924095665503,3.8207858002818518,True,True,True,True
8192,on_16384,16384,5,221.40475641936064,217.2474879771471,225.03754869103432,174.8213766142726,167.50923102721572,179.1490651667118,14.665080828501491,10.76356215529572,15.417948605060513,True,False,False,False
8192,on_2048,2048,5,309.4490198418498,306.8880410864949,317.5220377743244,68.74104265123606,67.18987966887653,70.58562004938722,5.676717722014871,3.3064531226329485,6.208175708517516,True,True,True,True
8192,on_32768,32768,5,217.5214048475027,209.32753663510084,227.9804376885295,175.28599322773516,174.0414626710117,177.88249485194683,14.652077014363556,10.3724207282894,16.190121515986615,True,False,False,True
8192,on_4096,4096,5,270.6833053380251,256.6052619367838,277.6556368917227,111.5102618560195,105.03843777813017,115.46272475272417,9.745171889743652,7.0289413756844965,9.99781864724912,True,False,False,True
8192,on_512,512,5,600.3743819892406,594.5636974647641,622.4345760419965,37.68166745081544,32.94275118969381,58.34741687402129,2.6426839723081237,2.199503902283045,5.058081367869069,True,True,True,True
8192,on_8192,8192,5,245.3412776812911,238.47379442304373,268.08351557701826,167.33769816346467,165.50015388987958,170.90298242866993,15.076321189374603,11.270520514419957,15.530582006683309,True,False,False,True
16384,off_32768,32768,5,470.1678967103362,444.9981991201639,478.05609460920095,399.39403120428324,395.810972712934,423.7472217530012,31.42688249583566,19.25149183686197,35.0517740208867,True,False,False,True
16384,on_1024,1024,5,867.8727736696601,867.0752439647913,881.5255668014288,58.6615970171988,57.942539900541306,67.59910712018609,3.7817615684596264,3.3921753248905437,4.936430651901423,True,True,True,True
16384,on_16384,16384,5,483.18824265152216,477.7511451393366,499.0103570744395,395.0640208646655,393.3638088591397,402.3062936309725,27.544724877401684,23.89502705133947,37.6357357297461,True,False,False,True
16384,on_2048,2048,5,655.978349968791,647.5466024130583,662.7605753019452,88.39380900375545,86.57930979505181,93.70738558471203,7.349060639462331,5.031083059348608,7.517316230667817,True,True,True,True
16384,on_32768,32768,5,457.05475844442844,440.49502816051245,497.43990413844585,401.4329857006669,399.37704902142286,407.0215970277786,29.42089703145463,25.434595422670792,37.038269296587096,True,False,False,True
16384,on_4096,4096,5,550.513319671154,547.3216604441404,553.3165894448757,145.09073993191123,142.00554259121418,146.76539144478738,12.612577077399473,8.455766036228662,12.69547506182369,True,False,False,True
16384,on_512,512,5,1296.4549539610744,1288.9012265950441,1317.225900478661,43.60182046890259,41.795208333060145,54.027495328336954,3.4017894317301454,2.8528125349011666,3.805237016985174,True,True,True,True
16384,on_8192,8192,5,502.50109657645226,495.5387441441417,515.9085020422935,250.41858760640025,248.47124747931957,254.450341174379,20.25850876306685,16.00168121252762,21.60465110826507,True,False,False,True
24576,off_32768,32768,5,752.193127758801,741.5688810870051,777.8296703472733,700.9354787692428,690.4086086433381,706.6606756672263,51.89377351458566,39.18520804159591,62.80579259450175,True,False,False,False
24576,on_1024,1024,5,1415.6300025060773,1408.5860289633274,1425.524647347629,69.98518086969852,68.90914396382868,78.04964432492852,4.2342840706301965,3.9211950700632046,5.469856263189069,True,True,True,True
24576,on_16384,16384,5,785.0550813600421,775.3719920292497,804.0463235229254,394.6114637795836,386.2111203558743,398.6372497677803,27.980929245589753,21.949327130611728,34.39798954425492,True,False,False,True
24576,on_2048,2048,5,1067.434063181281,1063.5801330208778,1095.3896651044488,105.16047570854427,102.66744654625654,106.75138477236032,8.961827352378403,4.101028787176903,9.211931288733254,True,False,False,True
24576,on_32768,32768,5,749.4957754388452,744.3793313577771,751.6747806221247,695.7050682976842,690.7743794471025,697.6184645108879,60.71948239043663,43.32084182852881,63.921696228934124,True,False,False,True
24576,on_4096,4096,5,911.0221182927489,901.3593560084701,923.0563249439001,181.41841672360897,174.98997774906456,188.99787489324808,16.50108217568617,10.996104512743294,17.23751034855228,True,False,False,True
24576,on_512,512,5,2158.833588473499,2128.2120076939464,2169.5725712925196,58.059346321970224,55.71655731648207,58.70596695691347,3.7817777666395216,3.6039127921311556,4.836556350736596,False,True,False,True
24576,on_8192,8192,5,840.9750396385789,831.5480034798384,853.8013296201825,316.46386817097664,313.7482863198966,317.4571836646646,21.085739701371622,19.47170263115239,27.27228908527939,True,False,False,True
