run_dir,configured_lambda_req_s,realized_lambda_req_s,measured_makespan_s,drain_s,max_num_seqs,max_running,max_waiting,max_kv_cache_usage,requests_total,requests_successful,p50_ttft_ms,p95_ttft_ms,p99_ttft_ms,p50_visible_ttft_ms,p95_visible_ttft_ms,p50_e2e_ms,p95_e2e_ms,p99_e2e_ms,p50_mean_content_event_itl_ms,p95_mean_content_event_itl_ms,total_output_tokens,total_input_tokens,achieved_request_throughput_req_s,aggregate_output_tokens_per_s,experiment,config,expected_output_tokens,observed_output_tokens,length_matches
results/s3/raw/length_matched/coarse/lambda_4/default,4.0,3.455210222603422,38.78637588999845,,,11.0,0.0,0.05634696755994362,120,120,28.976090001378907,231.97565755326647,249.49358704208862,29.10838749812683,231.9897490491712,1144.5128949962964,5118.681172954894,9049.136167588294,8.996072526363752,11.785378209532633,22225,76333,3.0938698768951878,573.010483449963,S3-D length-matched replay,default,22225,22225,120
results/s3/raw/length_matched/coarse/lambda_4/maxseq12,4.0,3.455210222603422,38.81529023400071,,12,11.0,0.0,0.04922183794466406,120,120,29.157897999539273,233.99673720123243,252.9442804914288,29.28774699830683,234.0123726524325,1150.1059519978298,5148.471841799983,9111.310151050711,9.088671414683326,11.867477085881246,22225,76333,3.0915651867233644,572.5836356243898,S3-D length-matched replay,maxseq12,22225,22225,120
