run_dir,configured_lambda_req_s,realized_lambda_req_s,measured_makespan_s,drain_s,max_num_seqs,max_running,max_waiting,max_kv_cache_usage,requests_total,requests_successful,p50_ttft_ms,p95_ttft_ms,p99_ttft_ms,p50_visible_ttft_ms,p95_visible_ttft_ms,p50_e2e_ms,p95_e2e_ms,p99_e2e_ms,p50_mean_content_event_itl_ms,p95_mean_content_event_itl_ms,total_output_tokens,total_input_tokens,achieved_request_throughput_req_s,aggregate_output_tokens_per_s,experiment,config
results/s3/raw/poisson/coarse/lambda_4,4.0,3.455210222603422,40.63868800600176,,,14.0,0.0,0.052891396332863216,120,120,30.673532499349676,559.2779441951277,1622.191789110586,30.832172000373248,559.2894096982488,1080.337198000052,7686.557795545376,9073.212320367238,9.095666239428281,17.960687090017775,22938,76333,2.952851233343894,564.4375132536853,S3-E natural generation,default
results/s3/raw/poisson/concurrency_optimization/lambda_4_12_seqs,4.0,3.455210222603422,40.12384855200071,,12,12.0,1.0,0.04808954605126792,120,120,30.213875503250165,234.89819175083537,253.9249847424071,30.321621998155024,234.91578970279076,1023.7181645024975,6621.509238895303,9225.905179937472,9.188880910097529,12.266710076929645,22975,76333,2.9907400294485558,572.6021014715047,S3-E natural generation,maxseq12
results/s3/raw/poisson/concurrency_optimization/lambda_4_10_seqs,4.0,3.455210222603422,38.68359626599704,,10,10.0,3.0,0.045418080839247144,120,120,30.543346500053303,442.3839254031918,563.3732158871135,30.764281498704804,442.3993649004842,1068.2740224983718,6205.696388999055,9036.39464952714,9.137327077472435,12.25766065929092,22958,76333,3.1020900739128083,593.4815326407521,S3-E natural generation,maxseq10
results/s3/raw/poisson/concurrency_optimization/lambda_4_8_seqs,4.0,3.455210222603422,38.877288665004016,,8,8.0,6.0,0.04393319936248352,120,120,40.19855849765008,791.5032868495472,1007.9152029320542,40.214688997366466,791.5194538451032,1100.054515998636,5622.339365152218,9089.81742025717,9.058106627331423,11.607058591431082,22170,76333,3.0866350026106586,570.2558167323192,S3-E natural generation,maxseq8
