run_dir,configured_lambda_req_s,realized_lambda_req_s,measured_makespan_s,drain_s,max_num_seqs,max_running,max_waiting,max_kv_cache_usage,requests_total,requests_successful,p50_ttft_ms,p95_ttft_ms,p99_ttft_ms,p50_visible_ttft_ms,p95_visible_ttft_ms,p50_e2e_ms,p95_e2e_ms,p99_e2e_ms,p50_mean_content_event_itl_ms,p95_mean_content_event_itl_ms,total_output_tokens,total_input_tokens,achieved_request_throughput_req_s,aggregate_output_tokens_per_s,experiment,config
results/s3/raw/poisson/coarse/lambda_0p4,0.4,0.3455210222603422,345.05241229600506,,,4.0,0.0,0.03431409436375954,120,120,28.380542498780414,315.9272423497896,493.2171991188807,28.400597497238778,315.9465033451852,987.2873154999979,5388.666139096312,8257.102487244192,8.106125742638877,9.45382679852523,22603,76333,0.3477732533487039,65.50599037867295,S3-C natural generation,default
results/s3/raw/poisson/coarse/lambda_0p6,0.6,0.5182815333905132,230.27323944900127,,,4.0,0.0,0.03385049365303239,120,120,27.786346505308757,246.16507375139918,414.4876775495505,27.806971502286615,246.18955629921402,948.3711239990953,5542.599287953998,7307.201122328843,8.135585113765186,9.256734166128401,22349,76333,0.5211200410744057,97.0542649830991,S3-C natural generation,default
results/s3/raw/poisson/coarse/lambda_0p8,0.8,0.6910420445206844,173.2075366919962,,,5.0,0.0,0.034978843441466845,120,120,26.03149999777088,236.51015180294053,249.38481983917882,26.05505600149627,236.53047579755366,960.4752055020072,5778.692451851018,8276.33098430044,8.141713216242298,9.345775657659782,23128,76333,0.6928104994264093,133.5276769227833,S3-C natural generation,default
results/s3/raw/poisson/coarse/lambda_1,1.0,0.8638025556508555,138.8557958599995,,,5.0,0.0,0.038857545839210195,120,120,26.889753000432393,224.07484264695083,250.12540732241177,26.91328299988527,224.10055109758102,938.6403240023355,6243.950630398103,8689.555726500548,8.169252318838463,9.101873972797216,22963,76333,0.8642059141772467,165.37300339376762,S3-C natural generation,default
results/s3/raw/poisson/coarse/lambda_1p5,1.5,1.2957038334762834,92.88389291799831,,,6.0,0.0,0.039139633286318753,120,120,26.654783003323246,224.92655765163357,250.32080351869809,26.672914002119796,224.95329660050623,917.5208704982651,4928.413140954215,8586.433032550707,8.258136117200365,9.980454062858877,21968,76333,1.2919355146531262,236.5103282158323,S3-C natural generation,default
results/s3/raw/poisson/coarse/lambda_2p5,2.5,2.1595063891271375,58.770613112996216,,,9.0,0.0,0.03222849083215795,120,120,28.53823000259581,230.1352549497096,248.13905874871125,28.556485503941076,230.14781899473743,1023.846821502957,6292.800397851532,9180.881905585193,8.547716205370085,10.681729008645465,23309,76333,2.041836789575092,396.60978106838184,S3-C natural generation,default
results/s3/raw/poisson/coarse/lambda_3p5,3.5,3.0233089447779924,42.9395308710009,,,12.0,0.0,0.04478138222849082,120,120,28.63764899666421,229.17928699680488,252.22472754241608,28.782007000700105,229.19643249588262,999.7508609994838,5753.351470050256,9148.64550274273,8.977681553591701,11.79785046505357,22260,76333,2.794627644174885,518.4034279944412,S3-C natural generation,default
results/s3/raw/poisson/coarse/lambda_3p75,3.75,3.2392595836907065,41.19793201200082,,,13.0,0.0,0.04520451339915377,120,120,29.11304349618149,232.65415994428622,251.25474854830827,29.185049497755244,232.66951299883658,1014.5094899999094,6767.803160849869,9185.607214593183,9.005567263877351,11.832619783444898,22541,76333,2.9127675623389155,547.1391135223458,S3-C natural generation,default
results/s3/raw/poisson/coarse/lambda_4,4.0,3.455210222603422,40.63868800600176,,,14.0,0.0,0.052891396332863216,120,120,30.673532499349676,559.2779441951277,1622.191789110586,30.832172000373248,559.2894096982488,1080.337198000052,7686.557795545376,9073.212320367238,9.095666239428281,17.960687090017775,22938,76333,2.952851233343894,564.4375132536853,S3-C natural generation,default
