configured_lambda_req_s,realized_lambda_req_s,realized_rho,requests,successful,failed,s1_hash_matches,max_client_inflight,dispatch_lag_p50_ms,dispatch_lag_p95_ms,queue_mean_ms,queue_p50_ms,queue_p95_ms,queue_p99_ms,queue_max_ms,client_ttft_p50_ms,client_ttft_p95_ms,client_ttft_p99_ms,visible_ttft_p50_ms,visible_ttft_p95_ms,client_e2e_p50_ms,client_e2e_p95_ms,client_e2e_p99_ms,model_ttft_p50_ms,model_ttft_p95_ms,tpot_p50_ms,tpot_p95_ms,queue_ttft_inflation_corr
0.17,0.14684643446064538,0.44268432031708127,120,120,0,120,6,1.9543949310900643,14.026625446058457,2701.347024433289,0.21752950033260274,11615.14292864949,22880.638938981127,24458.0325299994,304.74833750031394,11868.496778048753,22940.768462620934,372.92202950084175,11885.354861449829,4092.0020654994005,18760.547328300523,25077.019565489794,95.4817123413086,431.65336761474606,15.276349782943726,16.54778469880479,0.9998284435640721
0.25,0.21595063891271388,0.6510063534074727,120,120,0,120,8,1.025987949105911,7.125128147890787,6038.454061633577,2007.9406695022044,22743.19438685015,36527.965260059835,39017.79782299855,2200.330612500693,22813.938391751075,36585.69495286069,2223.773990499467,22830.83135135057,6296.18478950033,24053.0157280009,39637.443839360356,20.023808479309082,284.92620086669916,15.66048376202963,17.594464894931654,0.9999628353321932
0.31,0.26777879225176515,0.807247878225266,120,120,0,120,10,0.8351747637789231,6.279880536567361,8683.174043308432,6346.947475001798,26428.272694547195,34863.9919432276,37018.80370800063,6474.3274214979465,26497.660108149645,34921.05614283909,6497.67025249821,26528.21286964936,9162.171896499785,28311.617897450924,37621.299730818,18.553343772888184,266.18801116943354,15.390007559987282,18.04223256251784,0.9999823194853514
0.35,0.3023308944777995,0.9114088947704619,120,120,0,120,13,0.7237868758238619,3.44069347338518,11193.80522085809,9436.419909499818,32377.879265599586,35795.07926259194,37538.2175679988,9505.522846497115,32454.301096451854,35857.51967256042,9530.660082498798,32487.718589653014,12650.699493500724,33639.815271251246,38177.15874765127,17.585391998291016,258.2415267944336,15.4026245202847,16.80186575603444,0.9999933856892483
0.4,0.3455210222603422,1.0416101654519563,120,120,0,120,14,0.7510053255828097,1.9801381627985393,15011.559126900222,15320.00109799992,33733.04487179902,38383.4171864705,38682.18175500078,15379.391008000312,33791.51859260127,38498.24955807104,15403.972763000638,33807.575993302264,18432.00575699848,38141.59978984826,40686.77564343834,16.92203140258789,248.6946823120117,15.213848940931907,16.03766551775271,0.9999986607854869
