segment,active_start,active_end,active_duration_s,running_mean,running_max,waiting_mean,waiting_p95,waiting_max,waiting_capacity_mean,waiting_deferred_mean,kv_mean_pct,kv_max_pct,gpu_mean_pct,gpu_p05_pct,gpu_min_pct,fb_used_mean,fb_used_max,power_mean_w,power_max_w,temp_mean_c,temp_max_c,preemption_delta,engine_up_min,dcgm_up_min
segment_1,1788785764.0,1788786149.0,385.0,50.37564766839378,64.0,7.774611398963731,32.0,40.0,7.774611398963731,0.0,1.1798363587420364,1.6915022150624237,99.05699481865285,96.0,54.0,74383.13730569948,74804.0,294.75931865284974,387.664,69.20984455958549,73.0,0.0,1.0,1.0
segment_2,1788786184.0,1788786569.0,385.0,50.3419689119171,64.0,7.551813471502591,31.0,40.0,7.551813471502591,0.0,1.1794385760998625,1.6870972613773683,99.22020725388602,97.0,23.0,74382.0,74382.0,296.58782642487046,385.166,71.07512953367876,73.0,0.0,1.0,1.0
segment_3,1788786604.0,1788786989.0,385.0,50.66062176165803,64.0,7.748704663212435,30.75,40.0,7.748704663212435,0.0,1.1872507663510838,1.6933900523560252,99.18134715025907,97.0,0.0,74384.1865284974,74804.0,295.5895103626943,380.192,71.07512953367876,73.0,0.0,1.0,1.0
segment_4,1788787025.0,1788787409.0,384.0,50.994805194805195,64.0,7.431168831168831,29.799999999999955,41.0,7.431168831168831,0.0,1.1968103885643153,1.6977950060410807,99.33506493506493,97.0,84.0,74382.0,74382.0,296.03723636363634,380.208,70.91428571428571,73.0,0.0,1.0,1.0
segment_5,1788787446.0,1788787830.0,384.0,49.932467532467534,64.0,7.677922077922078,31.799999999999955,37.0,7.677922077922078,0.0,1.1683375524998563,1.6946486105517522,99.21558441558442,96.0,36.0,74384.1922077922,74804.0,296.8137792207792,398.032,70.67012987012987,72.0,0.0,1.0,1.0
