unix_ts,elapsed_s,utc_time,running_requests,waiting_requests,waiting_capacity,waiting_deferred,kv_cache_usage,preemptions_total,gpu_util_pct,fb_used_mb,power_w,gpu_temp_c,engine_up,dcgm_up
1788785760,22,2026-09-07 12:56:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74382.0,102.874,45.0,1.0,1.0
1788785761,23,2026-09-07 12:56:01+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74382.0,102.85,45.0,1.0,1.0
1788785762,24,2026-09-07 12:56:02+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74382.0,102.797,45.0,1.0,1.0
1788785763,25,2026-09-07 12:56:03+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74382.0,102.776,45.0,1.0,1.0
1788785764,26,2026-09-07 12:56:04+00:00,64.0,0.0,0.0,0.0,0.014649617398308501,0.0,54.0,74382.0,303.478,50.0,1.0,1.0
1788785765,27,2026-09-07 12:56:05+00:00,59.0,5.0,5.0,0.0,0.012585581957309744,0.0,100.0,74382.0,298.257,51.0,1.0,1.0
1788785766,28,2026-09-07 12:56:06+00:00,40.0,18.0,18.0,0.0,0.008514146194120054,0.0,100.0,74382.0,295.714,51.0,1.0,1.0
1788785767,29,2026-09-07 12:56:07+00:00,40.0,17.0,17.0,0.0,0.009369965767217048,0.0,100.0,74382.0,289.602,51.0,1.0,1.0
1788785768,30,2026-09-07 12:56:08+00:00,51.0,0.0,0.0,0.0,0.013302960128876329,0.0,100.0,74382.0,292.011,51.0,1.0,1.0
1788785769,31,2026-09-07 12:56:09+00:00,64.0,0.0,0.0,0.0,0.016021445831655212,0.0,100.0,74382.0,280.392,53.0,1.0,1.0
1788785770,32,2026-09-07 12:56:10+00:00,64.0,0.0,0.0,0.0,0.01466220298026577,0.0,100.0,74382.0,300.859,54.0,1.0,1.0
1788785771,33,2026-09-07 12:56:11+00:00,62.0,2.0,2.0,0.0,0.013699405960531652,0.0,99.0,74382.0,358.664,54.0,1.0,1.0
1788785772,34,2026-09-07 12:56:12+00:00,41.0,17.0,17.0,0.0,0.008746979460330206,0.0,100.0,74382.0,305.049,53.0,1.0,1.0
1788785773,35,2026-09-07 12:56:13+00:00,30.0,26.0,26.0,0.0,0.0067332863471606386,0.0,100.0,74382.0,302.648,54.0,1.0,1.0
1788785774,36,2026-09-07 12:56:14+00:00,41.0,0.0,0.0,0.0,0.010911699556987564,0.0,100.0,74382.0,246.097,54.0,1.0,1.0
1788785775,37,2026-09-07 12:56:15+00:00,64.0,0.0,0.0,0.0,0.015920761175996723,0.0,100.0,74382.0,285.716,55.0,1.0,1.0
1788785776,38,2026-09-07 12:56:16+00:00,64.0,0.0,0.0,0.0,0.014580396697543296,0.0,100.0,74382.0,295.355,56.0,1.0,1.0
1788785777,39,2026-09-07 12:56:17+00:00,60.0,4.0,4.0,0.0,0.012849879178413182,0.0,97.0,74382.0,342.059,56.0,1.0,1.0
1788785778,40,2026-09-07 12:56:18+00:00,31.0,33.0,33.0,0.0,0.0067647503020539235,0.0,100.0,74382.0,302.476,55.0,1.0,1.0
1788785779,41,2026-09-07 12:56:19+00:00,23.0,2.0,2.0,0.0,0.005569120016109541,0.0,100.0,74382.0,278.259,56.0,1.0,1.0
1788785780,42,2026-09-07 12:56:20+00:00,64.0,0.0,0.0,0.0,0.016229107933950826,0.0,100.0,74382.0,295.241,57.0,1.0,1.0
1788785781,43,2026-09-07 12:56:21+00:00,64.0,0.0,0.0,0.0,0.015083819975835633,0.0,95.0,74382.0,304.021,57.0,1.0,1.0
1788785782,44,2026-09-07 12:56:22+00:00,64.0,0.0,0.0,0.0,0.014272049939589193,0.0,100.0,74382.0,311.227,57.0,1.0,1.0
1788785783,45,2026-09-07 12:56:23+00:00,46.0,18.0,18.0,0.0,0.009823046717680195,0.0,100.0,74382.0,299.323,57.0,1.0,1.0
1788785784,46,2026-09-07 12:56:24+00:00,22.0,34.0,34.0,0.0,0.004707007652033801,0.0,100.0,74382.0,300.448,57.0,1.0,1.0
1788785785,47,2026-09-07 12:56:25+00:00,64.0,0.0,0.0,0.0,0.016757702376157924,0.0,100.0,74382.0,254.405,57.0,1.0,1.0
1788785786,48,2026-09-07 12:56:26+00:00,64.0,0.0,0.0,0.0,0.015580950463149446,0.0,100.0,74382.0,292.605,59.0,1.0,1.0
1788785787,49,2026-09-07 12:56:27+00:00,64.0,0.0,0.0,0.0,0.014555225533628646,0.0,97.0,74382.0,297.226,59.0,1.0,1.0
1788785788,50,2026-09-07 12:56:28+00:00,51.0,13.0,13.0,0.0,0.011245217478856206,0.0,94.0,74382.0,281.495,58.0,1.0,1.0
1788785789,51,2026-09-07 12:56:29+00:00,29.0,28.0,28.0,0.0,0.006110300040273908,0.0,99.0,74382.0,301.882,59.0,1.0,1.0
1788785790,52,2026-09-07 12:56:30+00:00,29.0,0.0,0.0,0.0,0.007438078936770065,0.0,99.0,74382.0,305.787,59.0,1.0,1.0
1788785791,53,2026-09-07 12:56:31+00:00,64.0,0.0,0.0,0.0,0.016235400724929572,0.0,100.0,74382.0,286.521,60.0,1.0,1.0
1788785792,54,2026-09-07 12:56:32+00:00,64.0,0.0,0.0,0.0,0.015190797422472868,0.0,100.0,74382.0,288.495,61.0,1.0,1.0
1788785793,55,2026-09-07 12:56:33+00:00,64.0,0.0,0.0,0.0,0.014108437374144134,0.0,97.0,74382.0,339.462,61.0,1.0,1.0
1788785794,56,2026-09-07 12:56:34+00:00,43.0,21.0,21.0,0.0,0.00918118203785745,0.0,100.0,74382.0,300.044,60.0,1.0,1.0
1788785795,57,2026-09-07 12:56:35+00:00,22.0,35.0,35.0,0.0,0.004625201369311327,0.0,100.0,74382.0,300.214,60.0,1.0,1.0
1788785796,58,2026-09-07 12:56:36+00:00,44.0,0.0,0.0,0.0,0.011647956101490164,0.0,100.0,74382.0,237.258,60.0,1.0,1.0
1788785797,59,2026-09-07 12:56:37+00:00,64.0,0.0,0.0,0.0,0.015555779299234795,0.0,100.0,74382.0,282.018,61.0,1.0,1.0
1788785798,60,2026-09-07 12:56:38+00:00,64.0,0.0,0.0,0.0,0.014674788562223151,0.0,98.0,74382.0,298.048,62.0,1.0,1.0
1788785799,61,2026-09-07 12:56:39+00:00,58.0,6.0,6.0,0.0,0.012648509867096203,0.0,98.0,74382.0,282.948,62.0,1.0,1.0
1788785800,62,2026-09-07 12:56:40+00:00,34.0,30.0,30.0,0.0,0.00735627265404748,0.0,100.0,74382.0,306.011,61.0,1.0,1.0
1788785801,63,2026-09-07 12:56:41+00:00,9.0,4.0,4.0,0.0,0.0018500805477245086,0.0,99.0,74382.0,301.977,62.0,1.0,1.0
1788785802,64,2026-09-07 12:56:42+00:00,64.0,0.0,0.0,0.0,0.016317207007652046,0.0,100.0,74382.0,305.729,63.0,1.0,1.0
1788785803,65,2026-09-07 12:56:43+00:00,64.0,0.0,0.0,0.0,0.01546138743455494,0.0,100.0,74382.0,275.642,63.0,1.0,1.0
1788785804,66,2026-09-07 12:56:44+00:00,64.0,0.0,0.0,0.0,0.014020338300443025,0.0,97.0,74382.0,308.837,63.0,1.0,1.0
1788785805,67,2026-09-07 12:56:45+00:00,48.0,16.0,16.0,0.0,0.010219492549335518,0.0,100.0,74382.0,305.226,62.0,1.0,1.0
1788785806,68,2026-09-07 12:56:46+00:00,22.0,33.0,33.0,0.0,0.004707007652033801,0.0,99.0,74382.0,302.973,63.0,1.0,1.0
1788785807,69,2026-09-07 12:56:47+00:00,51.0,0.0,0.0,0.0,0.013416230366492199,0.0,100.0,74382.0,242.081,63.0,1.0,1.0
1788785808,70,2026-09-07 12:56:48+00:00,64.0,0.0,0.0,0.0,0.01573827023761576,0.0,100.0,74382.0,273.064,64.0,1.0,1.0
1788785809,71,2026-09-07 12:56:49+00:00,64.0,0.0,0.0,0.0,0.01469995972613769,0.0,95.0,74382.0,299.4,64.0,1.0,1.0
1788785810,72,2026-09-07 12:56:50+00:00,54.0,10.0,10.0,0.0,0.011849325412807143,0.0,100.0,74382.0,322.498,64.0,1.0,1.0
1788785811,73,2026-09-07 12:56:51+00:00,34.0,30.0,30.0,0.0,0.007161196133709247,0.0,100.0,74382.0,297.277,63.0,1.0,1.0
1788785812,74,2026-09-07 12:56:52+00:00,20.0,3.0,3.0,0.0,0.0049272553362867955,0.0,100.0,74382.0,294.405,63.0,1.0,1.0
