case,n_runs,trial_kind,config_label,impact_max_busy_interval_ms_median,impact_max_busy_interval_ms_ci_low,impact_max_busy_interval_ms_ci_high,max_kernel_duration_ms_median,max_kernel_duration_ms_ci_low,max_kernel_duration_ms_ci_high,gpu_active_fraction_median,gpu_active_fraction_ci_low,gpu_active_fraction_ci_high,background_p99_stall_ratio_median,background_p99_stall_ratio_ci_low,background_p99_stall_ratio_ci_high,background_impact_max_gap_ms_median,background_impact_max_gap_ms_ci_low,background_impact_max_gap_ms_ci_high,long_request_ttft_p50_ms_median,long_request_ttft_p50_ms_ci_low,long_request_ttft_p50_ms_ci_high,impact_max_waiting_median,impact_max_waiting_ci_low,impact_max_waiting_ci_high,impact_max_kv_usage_median,impact_max_kv_usage_ci_low,impact_max_kv_usage_ci_high,preemptions_delta_median,preemptions_delta_ci_low,preemptions_delta_ci_high
control_off_32768,5,control,off_32768,1832.614927,981.077232,1985.680724,0.3345,0.333059,0.617767,0.9958664035266805,0.9953937889642881,0.9968602793965892,1.180348700835865,1.0548916913389823,1.6486980562853162,19.647742970846593,14.943752903491259,26.19420806877315,,,,0.0,0.0,0.0,0.0780774965628086,0.07766438811538634,0.0780774965628086,0.0,0.0,0.0
inject_off_32768,5,inject,off_32768,1279.275786,919.005931,2965.39931,12.696009,12.648749,12.741931,0.9985368415249692,0.9952427197892623,0.9992264528504017,57.29792076296771,41.50386399644149,62.40270505749544,663.9030840015039,662.8305899212137,666.3622780470178,729.7747728880495,721.5434480458498,745.6176189007238,0.0,0.0,0.0,0.0813823641421868,0.08055614724734228,0.0813823641421868,0.0,0.0,0.0
inject_on_1024,5,inject,on_1024,3110.308502,1142.838243,3637.239622,1.864404,1.855541,1.886709,0.9987785379103803,0.9983410837699328,0.9994203758906237,4.992920040167316,4.080320131771281,5.976381563305198,67.03766295686364,66.67430594097823,67.37562199123204,1381.5067530376837,1376.5472000231966,1392.4867269815877,0.0,0.0,0.0,0.07951705865364089,0.07936009643758557,0.07963634993784297,0.0,0.0,0.0
inject_on_4096,5,inject,on_4096,867.06946,646.327872,2741.436376,4.188813,4.180334,4.23771,0.9969220180614812,0.9958899744614179,0.9985360623832615,13.96559362837901,11.623215417617072,16.145152851591973,174.86802593339235,172.605739091523,177.6900349650532,896.3515019277111,880.5095970164984,899.3723369203508,0.0,0.0,0.0,0.07938896689817587,0.07898597721848966,0.07943934060813662,0.0,0.0,0.0
